ticker,company,sector,industry,market_cap,revenue,net_income,current_price,pe_ratio
MMM,3M Company,Industrials,Conglomerates,82157281280.0,25024000000.0,2787000064.0,157.52,30.409267
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,8330361856.0,3811899904.0,527600000.0,60.44,16.117332
ABT,Abbott Laboratories,Healthcare,Medical Devices,163608510464.0,45134000128.0,6252000256.0,93.93,26.310925
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,438305980416.0,62819000320.0,3595000064.0,248.08,122.2069
ACN,Accenture plc,Technology,Information Technology Services,82752921600.0,73100591104.0,7789751808.0,135.23,10.801118
ADBE,Adobe Inc.,Technology,Software - Application,88896897024.0,25198000128.0,7229000192.0,223.64,12.786736
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,909695778816.0,37454000128.0,4931999744.0,557.89,185.34552
AES,The AES Corporation,Utilities,Utilities - Diversified,10540470272.0,12487000064.0,1380000000.0,14.78,7.6979165
AFL,Aflac Incorporated,Financial Services,Insurance - Life,62050349056.0,18112000000.0,4636000256.0,121.91,13.932571
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,37927784448.0,7232000000.0,1414000000.0,134.29,26.965862
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,66699546624.0,12463899648.0,2115299968.0,299.53,31.529474
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,88206696448.0,12647000064.0,2516999936.0,148.62,36.60591
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,18346190848.0,4266646016.0,435179008.0,126.19,42.488216
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,14865662976.0,5494582784.0,-399635008.0,126.05,
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,8344022528.0,2930149120.0,-1067513984.0,47.88,
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,12851872768.0,4095789056.0,429892000.0,179.45,30.210438
ALLE,Allegion plc,Industrials,Security & Protection Services,11741417472.0,4159000064.0,633699968.0,136.63,18.6653
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,19732365312.0,4417999872.0,821000000.0,76.4,24.025158
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,64769679360.0,68174000128.0,12026999808.0,251.61,5.567825
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,4358514933760.0,422498009088.0,160207994880.0,357.18,27.244852
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,4332279300096.0,422498009088.0,160207994880.0,355.03,27.101526
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,119881490432.0,20377999360.0,8032999936.0,71.79,14.987474
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2639149400064.0,742775980032.0,90797998080.0,245.34,29.311829
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,19964086272.0,22190000128.0,678000000.0,43.18,34.822582
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,31256328192.0,8544999936.0,1524000000.0,112.94,20.31295
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,73688137728.0,22432999424.0,3654000128.0,135.43,20.034021
AXP,American Express Company,Financial Services,Credit Services,239210004480.0,68811997184.0,11086999552.0,350.58,21.883894
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,41976426496.0,26701000704.0,3160999936.0,79.17,13.93838
AMT,American Tower Corporation,Real Estate,REIT - Specialty,78544912384.0,10819300352.0,2900300032.0,168.59,27.191936
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,25521213440.0,5205000192.0,1102000000.0,130.69,23.130974
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,45556248576.0,19316000768.0,3895000064.0,506.76,12.624814
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,53628919808.0,7597581824.0,1527741056.0,233.98,35.34441
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,196124606464.0,37219999744.0,7800000000.0,363.39,25.323345
APH,Amphenol Corporation,Technology,Electronic Components,195681091584.0,25903800320.0,4465500160.0,159.06,45.706894
ADI,"Analog Devices, Inc.",Technology,Semiconductors,192715980800.0,12740193280.0,3313432064.0,395.65,58.789005
AON,Aon plc,Financial Services,Insurance Brokers,76234153984.0,17486000128.0,3942000128.0,356.94,19.612087
APA,APA Corporation,Energy,Oil & Gas E&P,11820044288.0,8370999808.0,1532999936.0,33.44,7.7948713
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,69378113536.0,31286999040.0,1155000064.0,120.34,75.68553
AAPL,Apple Inc.,Technology,Consumer Electronics,4631217307648.0,451442016256.0,122575003648.0,315.32,38.174335
